474,SOCIOPRODUCTIVIDAD,441
475,DERECHOS HUMANOS,1337
476,ZOOTECNIA,1725
477,QUIMICA,200
478,PINTURA,135
479,PRODUCCION DE AUDIOVISUALES,131
480,FABRICACION MECANICA,1187
481,ELECTRICIDAD INDUSTRIAL,1483
482,ELECTRONICA INDUSTRIAL,441
483,POTENCIA INDUSTRIAL,592
484,ELECTRONICA INDUSTRIAL,1029
485,INFORMATICA,1029
486,ELECTRONICA,274
487,EDUCACION ESPECIAL EN DEFICIENCIAS AUDITIVAS,1483
488,ENSENANZA DE LA GEOGRAFIA,517
489,SEGURIDAD Y DEFENSA DE LA NACION,441
490,ELECTRONICA,1029
491,RENTAS,238
492,ENSENANZA DE LA MATEMATICA,1180
493,ENFERMERIA,274
494,TRANSPORTE,274
495,CONSTRUCCION CIVIL,274
496,DOCENCIA EN MATEMATICA,517
497,INFORMATICA,274
498,PRODUCCION INDUSTRIAL,274
499,EFICIENCIA ENERGETICA Y ENERGIAS ALTERNATIVAS,618
500,SEGURIDAD INDUSTRIAL,1029
501,INGLES,1337
502,MANTENIMIENTO Y OPERACIONES EN REFINERIAS PETROLERAS,1029
503,SEGURIDAD INDUSTRIAL E HIGIENE LABORAL,1029
504,OPERACION EN PLANTAS INDUSTRIALES,441
505,PROCESOS DE APRENDIZAJE,517
506,PROCESOS QUIMICOS,1029
507,SEGURIDAD DE LOS PROCESOS INDUSTRIALES,1029
508,CIENCIAS DE LA SALUD,517
509,SOCIOPOLITICA,441
510,ORGANIZACION Y METODOS,7
511,ELECTRICIDAD,1176
512,GESTION EMPRESARIAL,1029
513,ADMINISTRACION COMERCIAL,67
514,MANTENIMIENTO MECANICO INDUSTRIAL,1029
515,CONTABILIDAD Y FINANZAS,67
516,DISENO DE SISTEMAS MECANICAS,1187
517,DISENO DE SISTEMAS MECANICOS,1187
518,FISIOTERAPIA,274
519,ADMINISTRACION TRIBUTARIA Y RELACIONES PUBLICAS,441
520,COMERCIO INTERNACIONAL,441
521,PRESUPUESTO,7
522,INTENDENCIA,274
523,LOGISTICA,274
524,GEOQUIMICA,200
525,REFINACION DE PETROLEO,1029
526,MANTENIMIENTO E INSTRUMENTACION INDUSTRIAL,441
